key,en,ru,sr-Latn,sr-Cyrl
BitiVerbFormsTable,Biti verb forms table,Таблица форм глагола бити,Tabela oblika glagola biti,Табела облика глагола бити
BitiVerbFormsTest,Biti verb forms test,Тест форм глагола бити,Test oblika glagola biti,Тест облика глагола бити
BitiVerbFormsTestInvert,Biti verb forms test (invert),Тест форм глагола бити (обратный),Test oblika glagola biti (inverzno),Тест облика глагола бити (инверзно)
PluralFormsTable,Plural forms table,Таблица множественного числа,Tabela množine,Табела множине
PluralFormsTest,Plural forms test,Тест множественного числа,Test množine,Тест множине
SrbTranslator,SRB/СРБ translator,СРБ/СРБ переводчик,SRB/СRB prevodilac,СРБ/СРБ преводилац
VerbConjugationTest,Verb conjugation test,Тест спряжения глагола,Test konjugacije glagola,Тест конјугације глагола
NounCaseTest,Noun case test,Тест падежа существительного,Test padeža imenice,Тест падежа именице
Back,Back,Назад,Nazad,Назад
Streak,Streak,Правильных ответов,Pravilnih odgovora,Правилних одговора
EnterLatnText,Enter SRB (latin) text,Введите SRB (latin) текст,Unesite SRB (latin) tekst,Унесите SRB (latin) текст
EnterCyrlText,Enter СРБ (cyrillic) text,Введите СРБ (cyrillic) текст,Unesite СРB (cyrillic) tekst,Унесите СРБ (cyrillic) текст
ConvertToLatn,Convert to SRB (latin),Конвертировать в SRB (latin),Konvertuj u SRB (latin),Конвертуј у SRB (latin)
ConvertToCyrl,Convert to СРБ (cyrillic),Конвертировать в СРБ (cyrillic),Konvertuj u СРБ (cyrillic),Конвертуј у СРБ (cyrillic)
