aerodrom, m
avan, m
ada, f
advokat, m
aga, m
ajkula, f
ajvar, m
akcija, f
akrep, m
akt, m
aktivacija, f
aktivnost, f
akustika, f
alapača, f
alarm, m
alva, f
ambar, m
ambis, m
amper, m
antihrist, m
anđeo, m
aparat, m
apel, m
apotekar, m
apozicija, f
ar, m
arenda, f
arhanđeo, m
arija, f
aritmetika, f
arterija, f
askurđel, m
astal, m
astrolog, m
atar, m
atlas, m
atribut, m
automobil, m
avion, m
avlija, f
azbuka, f
ašov, m
aždaja, f
baba, f
baka, f
bakar, m
baklava, f
balon, m
banana, f
banka, f
bara, f
beban, m
bejzbol, m
belance, n
belilo, n
bejzbol, m
biblioteka, f
bicikl, m
bik, m
bikes, m
biljka, f
bitka, f
bobičavo, n
boca, f
bogatstvo, n
boks, m
bokvica, f
bol, f
bolnica, f
bomba, f
borba, f
bosiljak, m
boja, f
brada, f
brat, m
brav, m
brava, f
brašno, n
brdo, n
brod, m
bronza, f
broj, m
buba, f
bubamara, f
bubanj, m
bundeva, f
celer, m
celina, f
cena, f
cent, m
centar, m
cigla, f
cink, m
cipela, f
crevo, n
crkva, f
crnilo, n
crv, m
crvenilo, n
cvet, m
cveće, n
dan, m
deda, m
deka, m
delo, n
deminutiv, m
deo, m
depresija, f
detalj, m
dete, n
detelina, f
devetina, f
devojčica, f
devojka, f
dečak, m
digitron, m
dijamant, m
dim, m
dinja, f
dinosaurus, m
distribucija, f
diva, f
divizija, f
divljač, f
dizajn, m
dnevnik, m
doboš, m
dobro, n
dodatak, m
dodir, m
dok, m
doktor, m
dom, m
doručak, m
doživljaj, m
dragulj, m
droga, f
dron, m
društvo, n
drveće, n
drvo, n
dug, m
duh, m
dvorana, f
dvorište, n
džak, m
džem, m
džemper, m
džep, m
džomba, f
efekat, m
ekspanzija, f
eksplozija, f
familija, f
farma, f
farmer, m
fioka, f
flamingo, m
forma, f
fotografija, f
frikcija, f
frizura, f
frižider, m
front, m
fudbal, m
gajba, f
galerija, f
gavran, m
gelender, m
gitara, f
glagol, m
glas, m
glava, f
glina, f
glumac, m
gnezdo, n
godina, f
gomila, f
gorivo, n
gorčina, f
gospodar, m
govedina, f
gozba, f
grad, m
grafit, m
grana, f
granica, f
građa, f
grlo, n
grm, m
grom, m
grozd, m
grožđe, n
grupa, f
gubitak, m
gusan, m
guska, f
guverner, m
gušter, m
haljina, f
harmonika, f
harmonija, f
hidrant, m
hiperbola, f
hleb, m
hobi, m
hrana, f
humor, m
hvat, m
ideja, f
igla, f
igra, f
igralište, n
igračka, f
ime, n
imenica, f
impuls, m
industrija, f
insekt, m
instrument, m
iskustvo, n
istorija, f
ivica, f
izbor, m
izgled, m
iznenađenje, n
iznutrica, f
izjava, f
jabuka, f
jajnik, m
jastuk, m
jačina, f
jedinica, f
jednina, f
jedro, n
jelen, m
jezero, n
jezik, m
june, n
jutro, n
kabel, m
kafa, f
kaktus, m
kalaj, m
kalem, m
kalendar, m
kalkulator, m
kamata, f
kamen, m
kamera, f
kamp, m
kanal, m
kandža, f
kanta, f
kapa, f
kapija, f
kapljica, f
kaput, m
kare, n
karfiol, m
karta, f
kartica, f
kavez, m
kazna, f
kašika, f
keleraba, f
kilt, m
kiselina, f
klasa, f
klavir, m
klijent, m
klizanje, n
kljova, f
ključ, m
klošar, m
klub, m
knjiga, f
kokoška, f
kolač, m
koleno, n
kolevka, f
kolo, n
kombi, m
kombinezon, m
komfor, m
komisija, f
kompanija, f
konkurencija, f
kontrola, f
konj, m
korak, m
koren, m
korpa, f
kosa, f
koska, f
kost, f
koza, f
kočija, f
košarka, f
košuta, f
koža, f
kralj, m
kraljica, f
krastavac, m
krava, f
kraj, m
kreator, m
kreda, f
kredit, m
kreker, m
kreon, m
kresta, f
krevet, m
krik, m
krilo, n
kriminal, m
kriva, f
krokodil, m
krompir, m
krov, m
kruna, f
kruška, f
kuca, f
kuk, m
kuka, f
kukavica, f
kukuruz, m
kupka, f
kupus, m
kutija, f
kuvar, m
kuća, f
kuče, n
kćerka, f
ladica, f
lakat, m
lampa, f
lan, m
led, m
lekar, m
lenjivac, m
lepak, m
lepota, f
let, m
letelica, f
leto, n
lice, n
lift, m
lim, m
list, m
ljubav, f
ljubimac, m
ljubitelj, m
ljutina, f
lonac, m
lopata, f
lopta, f
lubenica, f
luk, m
luka, f
lutka, f
maca, f
magarac, m
magija, f
magla, f
majka, f
mama, f
mamac, m
mapa, f
margarin, m
marihuana, f
marina, f
marka, f
market, m
masa, f
maska, f
maslac, m
maslina, f
mastilo, n
mač, m
mače, n
mačka, f
mašina, f
majica, f
majka, f
majmun, m
med, m
meduza, f
medved, m
memorija, f
mera, f
mermer, m
mesec, m
meso, n
metal, m
metar, m
međa, f
mikrofon, m
milicija, f
minut, m
mir, m
miris, m
miš, m
mišić, m
mladunče, n
mleko, n
množina, f
more, n
motika, f
mozak, m
mramor, m
mreža, f
mrmor, m
mržnja, f
muva, f
muzika, f
muškarac, m
mužjak, m
nacija, f
nada, f
nadogradnja, f
nagrada, f
nameštaj, m
nana, f
napad, m
narudžba, f
naslov, m
nauka, f
nedelja, f
nerv, m
nećak, m
nivo, m
nizija, f
noga, f
nokat, m
nos, m
notar, m
novac, m
novčić, m
nož, m
obala, f
oblik, m
oblog, m
obrazovanje, n
obrok, m
ocena, f
odbojka, f
odeća, f
odgovor, m
odluka, f
odmor, m
odnos, m
odvod, m
oglas, m
ograda, f
ogrtač, m
okean, m
oko, n
okovratnik, m
okvir, m
olovka, f
oproštaj, m
organizacija, f
ornament, m
osećaj, m
osiguranje, n
osmeh, m
osmina, f
ostatak, m
ostrvo, n
otac, m
otok, m
otpad, m
otrov, m
ovca, f
očnjak, m
oštrica, f
pab, m
pacov, m
palac, m
palačinka, f
palica, f
pankreas, m
para, f
paradajz, m
paradajz, m
paragraf, m
paranoja, f
parcela, f
parfem, m
park, m
partner, m
pas, m
pasta, f
pasulj, m
patak, m
patka, f
paučina, f
pažnja, f
pekar, m
period, m
pero, n
pesak, m
pesma, f
petao, m
petina, f
pećina, f
pećnica, f
pile, n
piletina, f
pirinač, m
pisac, m
pisanje, n
pismo, n
pita, f
pištolj, m
plamen, m
planina, f
plantaža, f
plastika, f
platforma, f
platno, n
plavetnilo, n
plaćanje, n
plećka, f
plivanje, n
plovidba, f
plovilo, n
ploča, f
pločica, f
pod, m
podela, f
podne, n
podrum, m
podrška, f
poduhvat, m
pogled, m
pojas, m
pokazatelj, m
pokret, m
pokrivač, m
pokušaj, m
polica, f
policija, f
poljubac, m
polovina, f
pomoć, f
ponašanje, n
poplava, f
popodne, n
poređenje, n
porodica, f
portal, m
porudžbina, f
posao, m
posetilac, m
postignuće, n
postojanje, n
potok, m
potpis, m
potreba, f
potres, m
povećanje, n
povlačenje, n
povrće, n
pozicija, f
početak, m
početnik, m
pošta, f
poštovanje, n
požar, m
pranje, n
prava, f
pravnik, m
praznik, m
prašak, m
prašina, f
predlog, m
predstavnik, m
prepodne, n
pretvaranje, n
prezime, n
prihod, m
prilagođavanje, n
prilog, m
priraštaj, m
privlačnost, f
prizivanje, n
prijatelj, m
prijateljica, f
prijateljstvo, n
prljavština, f
proces, m
prodavnica, f
profit, m
prognoza, f
proizvodnja, f
promena, f
prostor, m
prosjak, m
protest, m
prozor, m
prsluk, m
prst, m
prsten, m
pruga, f
ptica, f
pumpa, f
put, m
putanja, f
putnik, m
putovanje, n
puška, f
radnik, m
rana, f
rasad, m
rashod, m
rast, m
razlog, m
razvoj, m
račun, m
reces, m
reka, f
rekursija, f
religija, f
reč, f
riba, f
ritam, m
riža, f
rižoto, m
rob, m
roditelj, m
rog, m
rotkvica, f
rođendan, m
rub, m
rublje, n
ruka, f
rukavica, f
rupa, f
ruta, f
ručak, m
ruža, f
sadoled, m
saga, f
salata, f
saldo, m
samoća, f
sanduče, n
sapun, m
sastanak, m
sat, m
satnica, f
savet, m
savijutak, m
scena, f
sedmina, f
sekunda, f
seme, n
senilo, n
senka, f
server, m
sestra, f
sijalica, f
sila, f
sin, m
sir, m
siromaštvo, n
sistem, m
sivilo, n
skala, f
skalar, m
skejtbord, m
skija, f
skijanje, n
skok, m
slabost, f
sladoled, m
slanina, f
slatkoća, f
slavina, f
slepa, f
slika, f
slon, m
slušanje, n
službenik, m
smeh, m
smernica, f
smisao, m
smrad, m
smrt, f
snaga, f
sneg, m
snimanje, n
so, f
soba, f
soda, f
sofa, f
sok, m
sorta, f
sova, f
spavanje, n
sposobnost, f
spremačica, f
sram, m
sramota, f
srce, n
srebro, n
sredina, f
sreća, f
srna, f
stablo, n
stado, n
staklo, n
stanica, f
stanje, n
start, m
staza, f
step, m
stepen, m
sto, m
stoka, f
stolar, m
stolica, f
stopa, f
stopalo, n
strah, m
strana, f
stranac, m
strašilo, n
struktura, f
stručnjak, m
struja, f
sudija, m
sugestija, f
suknja, f
sunce, n
sunđer, m
supa, f
supstanca, f
sveska, f
svetlo, n
svinja, f
svinjetina, f
svitac, m
svojstvo, n
tajna, f
talas, m
tanjir, m
tata, m
tačka, f
tegla, f
tele, n
teletina, f
tepanje, n
test, m
tetka, f
teča, m
tečnost, f
tigar, m
tigrica, f
toplota, f
trag, m
trampa, f
transport, m
trava, f
trener, m
trenerka, f
trenje, n
tretman, m
trećina, f
trešnja, f
trgovina, f
trik, m
tron, m
trotoar, m
trpezarija, f
tuga, f
ubod, m
udarac, m
ugalj, m
uho, n
ujna, f
ukus, m
ulica, f
um, m
umanjenica, f
umetnost, f
umivaonik, m
umnjak, m
uništavanje, n
uništenje, n
upaljač, m
upotreba, f
uprava, f
uređaj, m
usklik, m
usna, f
usta, n
utakmica, f
uzrok, m
učenje, n
ujak, m
varenje, n
varnica, f
vatrogasac, m
vaza, f
vektor, m
veličina, f
vena, f
veo, m
vera, f
verovanje, n
veverica, f
veza, f
veznik, m
večera, f
veš, m
vila, f
vilica, f
viljuška, f
vino, n
violina, f
višnja, f
vlada, f
vlasnik, m
voda, f
vodič, m
vosak, m
voz, m
voće, n
vožnja, f
vojska, f
vrana, f
vrat, m
vrata, n
vratar, m
vrednost, f
vreme, n
vremeplov, m
vreća, f
vrh, m
vrt, m
vrućina, f
vulkan, m
vuna, f
zadovoljstvo, n
zagađenje, n
zagonetka, f
zahtev, m
zaključak, m
zamenica, f
zamrzivač, m
zanimanje, n
zapaljenje, n
zapisnik, m
zastava, f
zatvor, m
zavesa, f
zdravlje, n
zebra, f
zelenilo, n
zemlja, f
zemljotres, m
zenica, f
zglob, m
zgrada, f
zid, m
zima, f
zlato, n
zlo, n
zmaj, m
znanje, n
značka, f
zrak, m
zrno, n
zub, m
zver, f
zvezda, f
zvono, n
zvuk, m
ćerka, f
čajnik, m
čaršav, m
čaša, f
čekić, m
čelik, m
čep, m
četka, f
četvrtina, f
činela, f
činjenica, f
čipka, f
čizma, f
čovek, m
čulo, n
čvor, m
šah, m
šaka, f
šal, m
šansa, f
šargarepa, f
šestina, f
šetnja, f
šećer, m
šešir, m
šimpanza, f
šišmiš, m
škola, f
školjka, f
šok, m
šolja, f
špijun, m
šraf, m
štampa, f
štap, m
šut, m
žaba, f
žalost, f
žele, n
železnica, f
želja, f
želudac, m
žena, f
ženka, f
žica, f
žirafa, f
živina, f
život, m
životinja, f
žumance, n
stvar, f, stvari
slovo, n
student, m
turista, m
komšija, m, komšije
